Name,Specialization,Experience,Clinic Name,Fees,Address,Timing
Dr. Raghavi Ravichandran,Cosmetologist,9 years experience overall,Hexa Anti-Aging & Preventive Clinic,₹500,"Hexa Anti-Aging & Preventive Clinic, Gandhipuram,, Coimbatore",
Dr. Duraisamy Palanisamy,Sexologist,17 years experience overall,K K Diabetes & Sex Care Centre,₹1000,"K K Diabetes & Sex Care Centre, Thudiyalur,, Coimbatore",
Dr. Suganya Anandaraman,Gynecologist/Obstetrician,17 years experience overall,Baba Clinic,₹500,"Baba Clinic, Saibaba Colony,, Coimbatore",
Dr. Ranjithkumar Selvaraj,General Physician,12 years experience overall,D.S.R Clinic,₹500,"D.S.R Clinic, Ramanathapuram,, Coimbatore",
Dr. Visu Rajendiran,General Physician,6 years experience overall,Chandraa's Clinic,₹350,"Chandraa's Clinic, Annur,, Coimbatore",
Dr. S Bhuvaneshwar Karthick,Dentist,17 years experience overall,Sumeraka Dentaland,Free Consultation,"Sumeraka Dentaland, Saravanampatti,, Coimbatore",
Dr. Karthikeyan,Orthopedist,14 years experience overall,CNC Orthopedic and Sports Injury Clinic,₹500,"CNC Orthopedic and Sports Injury Clinic, Saibaba Colony,, Coimbatore",
Dr. Sree Cumar,Dentist,14 years experience overall,Arasu Dental Care (ISO 9001:2015),₹100,"Arasu Dental Care (ISO 9001:2015), R.S. Puram,, Coimbatore",
Dr. Deepak Kumar,Dentist,16 years experience overall,Crown Dental,₹300,"Crown Dental, Coimbatore Racecourse,, Coimbatore",
Dr. S.Sivakumar,Plastic Surgeon,25 years experience overall,Shivani Medical Centre & Covai Cosmetic Surgery,₹500,"Shivani Medical Centre & Covai Cosmetic Surgery, Thudiyalur,, Coimbatore",
Dr. Raghavi Ravichandran,Cosmetologist,9 years experience overall,Hexa Anti-Aging & Preventive Clinic,₹500,"Hexa Anti-Aging & Preventive Clinic, Gandhipuram,, Coimbatore",
Dr. Duraisamy Palanisamy,Sexologist,17 years experience overall,K K Diabetes & Sex Care Centre,₹1000,"K K Diabetes & Sex Care Centre, Thudiyalur,, Coimbatore",
Dr. Suganya Anandaraman,Gynecologist/Obstetrician,17 years experience overall,Baba Clinic,₹500,"Baba Clinic, Saibaba Colony,, Coimbatore",
Dr. Ranjithkumar Selvaraj,General Physician,12 years experience overall,D.S.R Clinic,₹500,"D.S.R Clinic, Ramanathapuram,, Coimbatore",
Dr. Visu Rajendiran,General Physician,6 years experience overall,Chandraa's Clinic,₹350,"Chandraa's Clinic, Annur,, Coimbatore",
Dr. S Bhuvaneshwar Karthick,Dentist,17 years experience overall,Sumeraka Dentaland,Free Consultation,"Sumeraka Dentaland, Saravanampatti,, Coimbatore",
Dr. Karthikeyan,Orthopedist,14 years experience overall,CNC Orthopedic and Sports Injury Clinic,₹500,"CNC Orthopedic and Sports Injury Clinic, Saibaba Colony,, Coimbatore",
Dr. Sree Cumar,Dentist,14 years experience overall,Arasu Dental Care (ISO 9001:2015),₹100,"Arasu Dental Care (ISO 9001:2015), R.S. Puram,, Coimbatore",
Dr. Deepak Kumar,Dentist,16 years experience overall,Crown Dental,₹300,"Crown Dental, Coimbatore Racecourse,, Coimbatore",
Dr. S.Sivakumar,Plastic Surgeon,25 years experience overall,Shivani Medical Centre & Covai Cosmetic Surgery,₹500,"Shivani Medical Centre & Covai Cosmetic Surgery, Thudiyalur,, Coimbatore",
Dr. Raghavi Ravichandran,Cosmetologist,9 years experience overall,Hexa Anti-Aging & Preventive Clinic,₹500,"Hexa Anti-Aging & Preventive Clinic, Gandhipuram,, Coimbatore",
Dr. Duraisamy Palanisamy,Sexologist,17 years experience overall,K K Diabetes & Sex Care Centre,₹1000,"K K Diabetes & Sex Care Centre, Thudiyalur,, Coimbatore",
Dr. Suganya Anandaraman,Gynecologist/Obstetrician,17 years experience overall,Baba Clinic,₹500,"Baba Clinic, Saibaba Colony,, Coimbatore",
Dr. Ranjithkumar Selvaraj,General Physician,12 years experience overall,D.S.R Clinic,₹500,"D.S.R Clinic, Ramanathapuram,, Coimbatore",
Dr. Visu Rajendiran,General Physician,6 years experience overall,Chandraa's Clinic,₹350,"Chandraa's Clinic, Annur,, Coimbatore",
Dr. S Bhuvaneshwar Karthick,Dentist,17 years experience overall,Sumeraka Dentaland,Free Consultation,"Sumeraka Dentaland, Saravanampatti,, Coimbatore",
Dr. Karthikeyan,Orthopedist,14 years experience overall,CNC Orthopedic and Sports Injury Clinic,₹500,"CNC Orthopedic and Sports Injury Clinic, Saibaba Colony,, Coimbatore",
Dr. Sree Cumar,Dentist,14 years experience overall,Arasu Dental Care (ISO 9001:2015),₹100,"Arasu Dental Care (ISO 9001:2015), R.S. Puram,, Coimbatore",
Dr. Deepak Kumar,Dentist,16 years experience overall,Crown Dental,₹300,"Crown Dental, Coimbatore Racecourse,, Coimbatore",
Dr. S.Sivakumar,Plastic Surgeon,25 years experience overall,Shivani Medical Centre & Covai Cosmetic Surgery,₹500,"Shivani Medical Centre & Covai Cosmetic Surgery, Thudiyalur,, Coimbatore",
Dr. Raghavi Ravichandran,Cosmetologist,9 years experience overall,Hexa Anti-Aging & Preventive Clinic,₹500,"Hexa Anti-Aging & Preventive Clinic, Gandhipuram,, Coimbatore",
Dr. Duraisamy Palanisamy,Sexologist,17 years experience overall,K K Diabetes & Sex Care Centre,₹1000,"K K Diabetes & Sex Care Centre, Thudiyalur,, Coimbatore",
Dr. Suganya Anandaraman,Gynecologist/Obstetrician,17 years experience overall,Baba Clinic,₹500,"Baba Clinic, Saibaba Colony,, Coimbatore",
Dr. Ranjithkumar Selvaraj,General Physician,12 years experience overall,D.S.R Clinic,₹500,"D.S.R Clinic, Ramanathapuram,, Coimbatore",
Dr. Visu Rajendiran,General Physician,6 years experience overall,Chandraa's Clinic,₹350,"Chandraa's Clinic, Annur,, Coimbatore",
Dr. S Bhuvaneshwar Karthick,Dentist,17 years experience overall,Sumeraka Dentaland,Free Consultation,"Sumeraka Dentaland, Saravanampatti,, Coimbatore",
Dr. Karthikeyan,Orthopedist,14 years experience overall,CNC Orthopedic and Sports Injury Clinic,₹500,"CNC Orthopedic and Sports Injury Clinic, Saibaba Colony,, Coimbatore",
Dr. Sree Cumar,Dentist,14 years experience overall,Arasu Dental Care (ISO 9001:2015),₹100,"Arasu Dental Care (ISO 9001:2015), R.S. Puram,, Coimbatore",
Dr. Deepak Kumar,Dentist,16 years experience overall,Crown Dental,₹300,"Crown Dental, Coimbatore Racecourse,, Coimbatore",
Dr. S.Sivakumar,Plastic Surgeon,25 years experience overall,Shivani Medical Centre & Covai Cosmetic Surgery,₹500,"Shivani Medical Centre & Covai Cosmetic Surgery, Thudiyalur,, Coimbatore",
Dr. Raghavi Ravichandran,Cosmetologist,9 years experience overall,Hexa Anti-Aging & Preventive Clinic,₹500,"Hexa Anti-Aging & Preventive Clinic, Gandhipuram,, Coimbatore",
Dr. Duraisamy Palanisamy,Sexologist,17 years experience overall,K K Diabetes & Sex Care Centre,₹1000,"K K Diabetes & Sex Care Centre, Thudiyalur,, Coimbatore",
Dr. Suganya Anandaraman,Gynecologist/Obstetrician,17 years experience overall,Baba Clinic,₹500,"Baba Clinic, Saibaba Colony,, Coimbatore",
